"question","vata_option","pitta_option","kapha_option","question_group"
"How is your appetite these days?","Irregular, variable","Strong hunger with burning","Low appetite, heaviness","Prashna"
"How are your bowel movements recently?","Dry, hard, constipated","Loose, burning, urgent","Thick, heavy, sluggish","Prashna"
"Do you experience bloating, gas, or acidity?","Frequent bloating, variable","Occasional with acidity or burning","Rare, heaviness, belching","Prashna"
"How is your sleep right now?","Light, broken","Disturbed by heat, vivid dreams","Deep, heavy, hard to wake","Prashna"
"How are your current energy levels?","Variable, restless","Intense, irritable","Low, dull, sluggish","Prashna"
"Do you feel too cold or too hot in your body?","Cold hands & feet","Excess heat, sweating","Cool, clammy","Prashna"
"How is your skin currently?","Dry, rough","Red, inflamed","Oily, thick","Prashna"
"How is your thirst and hydration?","Irregular, low","Excessive, craves cold drinks","Low, water retention","Prashna"
"How is your weight changing recently?","Sudden loss","Steady loss with heat","Gradual gain","Prashna"
"Do you experience pain or stiffness in the body?","Variable, sharp, moving","Burning, localized","Dull, heavy, stiff","Prashna"
"How is your emotional state these days?","Anxiety, fear","Anger, irritability","Attachment, lethargy","Prashna"
"When are your symptoms worst during the day?","Early morning or evening","Midday or midnight","Morning or after sleep","Kala Pariksha"
